Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1991;Edad media de la madre al nacimiento del segundo hijo;Otros;;;30.38;Años;
1991;Edad media de la madre;Otros;;;29.43;Años;
1991;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;33.77;Años;
1991;Edad media de la madre al nacimiento del primer hijo;Otros;;;27.54;Años;
1991;Indice sintético de fecundidad;Otros;;;1.24;Índice;
1991;Crecimiento vegetativo;Otros;;;13444;Número;
1991;Proporción de nacimientos de madre casada;Otros;;;88.92;Porcentaje;
1991;Edad media de la madre extranjera;Otros;;;-;Porcentaje;
1991;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;106.08;Porcentaje;
1991;Edad media de la madre española;Otros;;;-;Porcentaje;
1991;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.48;Porcentaje;
1991;Tasa general de fecundidad;Otros;;;36.72;Tasa;
1991;Tasa bruta de natalidad;Otros;;;9.93;Tasa;
1992;Edad media de la madre al nacimiento del primer hijo;Otros;;;27.97;Años;
1992;Edad media de la madre;Otros;;;29.69;Años;
1992;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;33.85;Años;
1992;Edad media de la madre al nacimiento del segundo hijo;Otros;;;30.66;Años;
1992;Indice sintético de fecundidad;Otros;;;1.26;Índice;
1992;Crecimiento vegetativo;Otros;;;15764;Número;
1992;Proporción de nacimientos de madre casada;Otros;;;88.54;Porcentaje;
1992;Edad media de la madre extranjera;Otros;;;-;Porcentaje;
1992;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.52;Porcentaje;
1992;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;106.27;Porcentaje;
1992;Edad media de la madre española;Otros;;;-;Porcentaje;
1992;Tasa bruta de natalidad;Otros;;;10.17;Tasa;
1992;Tasa general de fecundidad;Otros;;;37.22;Tasa;
1993;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;33.66;Años;
1993;Edad media de la madre al nacimiento del primer hijo;Otros;;;28.33;Años;
1993;Edad media de la madre;Otros;;;29.93;Años;
1993;Edad media de la madre al nacimiento del segundo hijo;Otros;;;30.97;Años;
1993;Indice sintético de fecundidad;Otros;;;1.22;Índice;
1993;Crecimiento vegetativo;Otros;;;13833;Número;
1993;Edad media de la madre extranjera;Otros;;;-;Porcentaje;
1993;Edad media de la madre española;Otros;;;-;Porcentaje;
1993;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;106.50;Porcentaje;
1993;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.57;Porcentaje;
1993;Proporción de nacimientos de madre casada;Otros;;;88.35;Porcentaje;
1993;Tasa bruta de natalidad;Otros;;;9.90;Tasa;
1993;Tasa general de fecundidad;Otros;;;35.99;Tasa;
1994;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;33.93;Años;
1994;Edad media de la madre al nacimiento del segundo hijo;Otros;;;31.27;Años;
1994;Edad media de la madre;Otros;;;30.26;Años;
1994;Edad media de la madre al nacimiento del primer hijo;Otros;;;28.72;Años;
1994;Indice sintético de fecundidad;Otros;;;1.16;Índice;
1994;Crecimiento vegetativo;Otros;;;12005;Número;
1994;Edad media de la madre extranjera;Otros;;;-;Porcentaje;
1994;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;108.19;Porcentaje;
1994;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.97;Porcentaje;
1994;Proporción de nacimientos de madre casada;Otros;;;88.15;Porcentaje;
1994;Edad media de la madre española;Otros;;;-;Porcentaje;
1994;Tasa general de fecundidad;Otros;;;34.45;Tasa;
1994;Tasa bruta de natalidad;Otros;;;9.51;Tasa;
1995;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.01;Años;
1995;Edad media de la madre al nacimiento del segundo hijo;Otros;;;31.60;Años;
1995;Edad media de la madre;Otros;;;30.58;Años;
1995;Edad media de la madre al nacimiento del primer hijo;Otros;;;29.12;Años;
1995;Indice sintético de fecundidad;Otros;;;1.13;Índice;
1995;Crecimiento vegetativo;Otros;;;10529;Número;
1995;Edad media de la madre extranjera;Otros;;;29.46;Porcentaje;
1995;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;107.21;Porcentaje;
1995;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.74;Porcentaje;
1995;Proporción de nacimientos de madre casada;Otros;;;87.64;Porcentaje;
1995;Edad media de la madre española;Otros;;;30.65;Porcentaje;
1995;Tasa general de fecundidad;Otros;;;33.82;Tasa;
1995;Tasa bruta de natalidad;Otros;;;9.35;Tasa;
1996;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.09;Años;
1996;Edad media de la madre al nacimiento del segundo hijo;Otros;;;31.83;Años;
1996;Edad media de la madre;Otros;;;30.84;Años;
1996;Edad media de la madre al nacimiento del primer hijo;Otros;;;29.47;Años;
1996;Indice sintético de fecundidad;Otros;;;1.13;Índice;
1996;Crecimiento vegetativo;Otros;;;10680;Número;
1996;Edad media de la madre extranjera;Otros;;;29.68;Porcentaje;
1996;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;104.47;Porcentaje;
1996;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.09;Porcentaje;
1996;Proporción de nacimientos de madre casada;Otros;;;87.29;Porcentaje;
1996;Edad media de la madre española;Otros;;;30.92;Porcentaje;
1996;Tasa general de fecundidad;Otros;;;33.94;Tasa;
1996;Tasa bruta de natalidad;Otros;;;9.40;Tasa;
1997;Edad media de la madre al nacimiento del segundo hijo;Otros;;;32.18;Años;
1997;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.11;Años;
1997;Edad media de la madre al nacimiento del primer hijo;Otros;;;29.66;Años;
1997;Edad media de la madre;Otros;;;31.05;Años;
1997;Indice sintético de fecundidad;Otros;;;1.13;Índice;
1997;Crecimiento vegetativo;Otros;;;13035;Número;
1997;Edad media de la madre española;Otros;;;31.19;Porcentaje;
1997;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;106.41;Porcentaje;
1997;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.55;Porcentaje;
1997;Proporción de nacimientos de madre casada;Otros;;;85.35;Porcentaje;
1997;Edad media de la madre extranjera;Otros;;;29.35;Porcentaje;
1997;Tasa general de fecundidad;Otros;;;34.45;Tasa;
1997;Tasa bruta de natalidad;Otros;;;9.60;Tasa;
1998;Edad media de la madre al nacimiento del segundo hijo;Otros;;;32.45;Años;
1998;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.37;Años;
1998;Edad media de la madre al nacimiento del primer hijo;Otros;;;29.91;Años;
1998;Edad media de la madre;Otros;;;31.32;Años;
1998;Indice sintético de fecundidad;Otros;;;1.12;Índice;
1998;Crecimiento vegetativo;Otros;;;11148;Número;
1998;Edad media de la madre española;Otros;;;31.47;Porcentaje;
1998;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;106.85;Porcentaje;
1998;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.65;Porcentaje;
1998;Proporción de nacimientos de madre casada;Otros;;;84.08;Porcentaje;
1998;Edad media de la madre extranjera;Otros;;;29.52;Porcentaje;
1998;Tasa general de fecundidad;Otros;;;34.47;Tasa;
1998;Tasa bruta de natalidad;Otros;;;9.55;Tasa;
1999;Edad media de la madre al nacimiento del segundo hijo;Otros;;;32.61;Años;
1999;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.40;Años;
1999;Edad media de la madre al nacimiento del primer hijo;Otros;;;30.07;Años;
1999;Edad media de la madre;Otros;;;31.43;Años;
1999;Indice sintético de fecundidad;Otros;;;1.17;Índice;
1999;Crecimiento vegetativo;Otros;;;13900;Número;
1999;Edad media de la madre española;Otros;;;31.65;Porcentaje;
1999;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;107.46;Porcentaje;
1999;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.83;Porcentaje;
1999;Proporción de nacimientos de madre casada;Otros;;;80.67;Porcentaje;
1999;Edad media de la madre extranjera;Otros;;;29.17;Porcentaje;
1999;Tasa general de fecundidad;Otros;;;36.41;Tasa;
1999;Tasa bruta de natalidad;Otros;;;10.04;Tasa;
2000;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.45;Años;
2000;Edad media de la madre al nacimiento del segundo hijo;Otros;;;32.83;Años;
2000;Edad media de la madre;Otros;;;31.48;Años;
2000;Edad media de la madre al nacimiento del primer hijo;Otros;;;30.07;Años;
2000;Indice sintético de fecundidad;Otros;;;1.23;Índice;
2000;Crecimiento vegetativo;Otros;;;18785;Número;
2000;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;107.43;Porcentaje;
2000;Proporción de nacimientos de madre casada;Otros;;;80.23;Porcentaje;
2000;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.79;Porcentaje;
2000;Edad media de la madre extranjera;Otros;;;28.80;Porcentaje;
2000;Edad media de la madre española;Otros;;;31.83;Porcentaje;
2000;Tasa bruta de natalidad;Otros;;;10.71;Tasa;
2000;Tasa general de fecundidad;Otros;;;38.63;Tasa;
2001;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.56;Años;
2001;Edad media de la madre;Otros;;;31.52;Años;
2001;Edad media de la madre al nacimiento del primer hijo;Otros;;;30.10;Años;
2001;Edad media de la madre al nacimiento del segundo hijo;Otros;;;32.85;Años;
2001;Indice sintético de fecundidad;Otros;;;1.25;Índice;
2001;Crecimiento vegetativo;Otros;;;21195;Número;
2001;Proporción de nacimientos de madre casada;Otros;;;78.11;Porcentaje;
2001;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.41;Porcentaje;
2001;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;105.79;Porcentaje;
2001;Edad media de la madre española;Otros;;;32.03;Porcentaje;
2001;Edad media de la madre extranjera;Otros;;;28.59;Porcentaje;
2001;Tasa bruta de natalidad;Otros;;;10.96;Tasa;
2001;Tasa general de fecundidad;Otros;;;39.60;Tasa;
2002;Edad media de la madre;Otros;;;31.50;Años;
2002;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.45;Años;
2002;Edad media de la madre al nacimiento del segundo hijo;Otros;;;32.88;Años;
2002;Edad media de la madre al nacimiento del primer hijo;Otros;;;30.09;Años;
2002;Indice sintético de fecundidad;Otros;;;1.27;Índice;
2002;Crecimiento vegetativo;Otros;;;23888;Número;
2002;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;106.57;Porcentaje;
2002;Edad media de la madre extranjera;Otros;;;28.41;Porcentaje;
2002;Edad media de la madre española;Otros;;;32.15;Porcentaje;
2002;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.59;Porcentaje;
2002;Proporción de nacimientos de madre casada;Otros;;;75.85;Porcentaje;
2002;Tasa general de fecundidad;Otros;;;40.64;Tasa;
2002;Tasa bruta de natalidad;Otros;;;11.23;Tasa;
2003;Edad media de la madre;Otros;;;31.60;Años;
2003;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.46;Años;
2003;Edad media de la madre al nacimiento del segundo hijo;Otros;;;33.02;Años;
