Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2003;Nacimientos de madres residentes extranjeras de Asia;Otros;;;799;Número;
2003;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;4;Número;
2003;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;2310;Número;
2003;Nacimientos de madres residentes extranjeras;Otros;;;12533;Número;
2003;Nacimientos de madres residentes extranjeras de América;Otros;;;7186;Número;
2003;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2003;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;253;Número;
2004;Nacimientos de madres residentes extranjeras de Asia;Otros;;;977;Número;
2004;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;4;Número;
2004;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2004;Nacimientos de madres residentes españolas;Otros;;;55166;Número;
2004;Nacimientos de madres residentes extranjeras;Otros;;;13863;Número;
2004;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;2654;Número;
2004;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;321;Número;
2004;Nacimientos de madres residentes extranjeras de África;Otros;;;2290;Número;
2004;Nacimientos de madres residentes extranjeras de América;Otros;;;7617;Número;
2005;Nacimientos de madres residentes extranjeras;Otros;;;14700;Número;
2005;Nacimientos de madres residentes españolas;Otros;;;54664;Número;
2005;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;390;Número;
2005;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;3127;Número;
2005;Nacimientos de madres residentes extranjeras de América;Otros;;;7723;Número;
2005;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;1;Número;
2005;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2005;Nacimientos de madres residentes extranjeras de África;Otros;;;2403;Número;
2005;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1056;Número;
2006;Nacimientos de madres residentes españolas;Otros;;;55539;Número;
2006;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;407;Número;
2006;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2006;Nacimientos de madres residentes extranjeras de América;Otros;;;8299;Número;
2006;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1110;Número;
2006;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;8;Número;
2006;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;3887;Número;
2006;Nacimientos de madres residentes extranjeras;Otros;;;16402;Número;
2006;Nacimientos de madres residentes extranjeras de África;Otros;;;2691;Número;
2007;Nacimientos de madres residentes españolas;Otros;;;55619;Número;
2007;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2007;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;10;Número;
2007;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1355;Número;
2007;Nacimientos de madres residentes extranjeras;Otros;;;19222;Número;
2007;Nacimientos de madres residentes extranjeras de América;Otros;;;9553;Número;
2007;Nacimientos de madres residentes extranjeras de África;Otros;;;3242;Número;
2007;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;462;Número;
2007;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;4600;Número;
2008;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;5130;Número;
2008;Nacimientos de madres residentes extranjeras;Otros;;;21314;Número;
2008;Nacimientos de madres residentes españolas;Otros;;;57427;Número;
2008;Nacimientos de madres residentes extranjeras de África;Otros;;;3824;Número;
2008;Nacimientos de madres residentes extranjeras de América;Otros;;;10251;Número;
2008;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;5;Número;
2008;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;508;Número;
2008;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1595;Número;
2008;Nacimientos de madres residentes no consta nacionalidad;Otros;;;1;Número;
2009;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;14;Número;
2009;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;495;Número;
2009;Nacimientos de madres residentes españolas;Otros;;;56079;Número;
2009;Nacimientos de madres residentes extranjeras;Otros;;;19813;Número;
2009;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1703;Número;
2009;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2009;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;4616;Número;
2009;Nacimientos de madres residentes extranjeras de América;Otros;;;9164;Número;
2009;Nacimientos de madres residentes extranjeras de África;Otros;;;3821;Número;
2010;Nacimientos de madres residentes españolas;Otros;;;55006;Número;
2010;Nacimientos de madres residentes extranjeras;Otros;;;18770;Número;
2010;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;4678;Número;
2010;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;497;Número;
2010;Nacimientos de madres residentes extranjeras de África;Otros;;;3782;Número;
2010;Nacimientos de madres residentes extranjeras de América;Otros;;;8049;Número;
2010;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1753;Número;
2010;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;11;Número;
2010;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2011;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2011;Nacimientos de madres residentes españolas;Otros;;;54915;Número;
2011;Nacimientos de madres residentes extranjeras;Otros;;;17108;Número;
2011;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;4406;Número;
2011;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;15;Número;
2011;Nacimientos de madres residentes extranjeras de África;Otros;;;3230;Número;
2011;Nacimientos de madres residentes extranjeras de América;Otros;;;7254;Número;
2011;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1688;Número;
2011;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;515;Número;
2012;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;8;Número;
2012;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2012;Nacimientos de madres residentes españolas;Otros;;;52990;Número;
2012;Nacimientos de madres residentes extranjeras;Otros;;;16384;Número;
2012;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;4397;Número;
2012;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;513;Número;
2012;Nacimientos de madres residentes extranjeras de África;Otros;;;3032;Número;
2012;Nacimientos de madres residentes extranjeras de América;Otros;;;6797;Número;
2012;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1637;Número;
2013;Nacimientos de madres residentes extranjeras de América;Otros;;;5768;Número;
2013;Nacimientos de madres residentes extranjeras;Otros;;;14733;Número;
2013;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;454;Número;
2013;Nacimientos de madres residentes españolas;Otros;;;50610;Número;
2013;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;4192;Número;
2013;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;10;Número;
2013;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1430;Número;
2013;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2013;Nacimientos de madres residentes extranjeras de África;Otros;;;2879;Número;
2014;Nacimientos de madres residentes extranjeras de América;Otros;;;4932;Número;
2014;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;16;Número;
2014;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2014;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1525;Número;
2014;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;543;Número;
2014;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;4070;Número;
2014;Nacimientos de madres residentes extranjeras;Otros;;;13904;Número;
2014;Nacimientos de madres residentes extranjeras de África;Otros;;;2818;Número;
2014;Nacimientos de madres residentes españolas;Otros;;;51601;Número;
2015;Nacimientos de madres residentes extranjeras de África;Otros;;;2835;Número;
2015;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;4173;Número;
2015;Nacimientos de madres residentes extranjeras de América;Otros;;;4457;Número;
2015;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1327;Número;
2015;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2015;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;4;Número;
2015;Nacimientos de madres residentes españolas;Otros;;;51589;Número;
2015;Nacimientos de madres residentes extranjeras;Otros;;;13290;Número;
2015;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;494;Número;
2016;Nacimientos de madres residentes extranjeras;Otros;;;13236;Número;
2016;Nacimientos de madres residentes españolas;Otros;;;49876;Número;
2016;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2016;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;12;Número;
2016;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;4001;Número;
2016;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1486;Número;
2016;Nacimientos de madres residentes extranjeras de América;Otros;;;4428;Número;
2016;Nacimientos de madres residentes extranjeras de África;Otros;;;2763;Número;
2016;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;546;Número;
2017;Nacimientos de madres residentes extranjeras;Otros;;;13185;Número;
2017;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;3871;Número;
2017;Nacimientos de madres residentes extranjeras de América;Otros;;;4657;Número;
2017;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1429;Número;
2017;Nacimientos de madres residentes no consta nacionalidad;Otros;;;2;Número;
2017;Nacimientos de madres residentes extranjeras de África;Otros;;;2697;Número;
2017;Nacimientos de madres residentes españolas;Otros;;;47370;Número;
2017;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;518;Número;
2017;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;9;Número;
2018;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1340;Número;
2018;Nacimientos de madres residentes extranjeras;Otros;;;13433;Número;
2018;Nacimientos de madres residentes extranjeras de África;Otros;;;2776;Número;
2018;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;6;Número;
2018;Nacimientos de madres residentes extranjeras de América;Otros;;;5168;Número;
2018;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;485;Número;
2018;Nacimientos de madres residentes españolas;Otros;;;44121;Número;
2018;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;3658;Número;
2018;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2019;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;14;Número;
2019;Nacimientos de madres residentes extranjeras de América;Otros;;;5743;Número;
2019;Nacimientos de madres residentes españolas;Otros;;;42068;Número;
2019;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1358;Número;
2019;Nacimientos de madres residentes extranjeras de África;Otros;;;2569;Número;
2019;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;507;Número;
2019;Nacimientos de madres residentes extranjeras;Otros;;;13673;Número;
2019;Nacimientos de madres residentes no consta nacionalidad;Otros;;;3;Número;
2019;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;3479;Número;
2020;Nacimientos de madres residentes extranjeras de África;Otros;;;2356;Número;
2020;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;560;Número;
2020;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1210;Número;
2020;Nacimientos de madres residentes extranjeras de América;Otros;;;5958;Número;
2020;Nacimientos de madres residentes no consta nacionalidad;Otros;;;1;Número;
2020;Nacimientos de madres residentes extranjeras;Otros;;;13033;Número;
2020;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;2943;Número;
2020;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;5;Número;
2020;Nacimientos de madres residentes españolas;Otros;;;39324;Número;
2021;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;506;Número;
2021;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1146;Número;
2021;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;2826;Número;
2021;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
2021;Nacimientos de madres residentes españolas;Otros;;;39248;Número;
2021;Nacimientos de madres residentes extranjeras;Otros;;;12118;Número;
2021;Nacimientos de madres residentes extranjeras de América;Otros;;;5579;Número;
2021;Nacimientos de madres residentes extranjeras de África;Otros;;;2053;Número;
2021;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;8;Número;
2022;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;582;Número;
2022;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;2676;Número;
2022;Nacimientos de madres residentes extranjeras;Otros;;;12843;Número;
2022;Nacimientos de madres residentes españolas;Otros;;;38118;Número;
2022;Nacimientos de madres residentes extranjeras de África;Otros;;;2050;Número;
2022;Nacimientos de madres residentes no consta nacionalidad;Otros;;;2;Número;
2022;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;7;Número;
2022;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1137;Número;
2022;Nacimientos de madres residentes extranjeras de América;Otros;;;6389;Número;
2023;Nacimientos de madres residentes extranjeras de América;Otros;;;7130;Número;
2023;Nacimientos de madres residentes extranjeras de África;Otros;;;1784;Número;
2023;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;542;Número;
2023;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;6;Número;
2023;Nacimientos de madres residentes no consta nacionalidad;Otros;;;2;Número;
2023;Nacimientos de madres residentes extranjeras;Otros;;;12940;Número;
2023;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1051;Número;
2023;Nacimientos de madres residentes españolas;Otros;;;37359;Número;
2023;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;2425;Número;
2024;Nacimientos de madres residentes extranjeras;Otros;;;13671;Número;
2024;Nacimientos de madres residentes extranjeras de Asia;Otros;;;1239;Número;
2024;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;520;Número;
2024;Nacimientos de madres residentes extranjeras de África;Otros;;;1819;Número;
2024;Nacimientos de madres residentes españolas;Otros;;;37099;Número;
2024;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;2343;Número;
2024;Nacimientos de madres residentes extranjeras de América;Otros;;;7740;Número;
2024;Nacimientos de madres residentes no consta nacionalidad;Otros;;;2;Número;
2024;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;8;Número;
